,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,Vangaindrano,45,MG,1575420428,91,-23.35,47.6,72.68,3.74
273,Zakamensk,0,RU,1575420430,88,50.38,103.29,-2.25,2.62
274,Wanaka,100,NZ,1575420431,88,-44.7,169.14,48.0,1.01
275,Zabid,22,YE,1575420432,47,14.2,44.5,56.91,3.69
276,Bilma,42,NE,1575420433,22,18.69,12.92,65.66,6.06
277,Pangai,75,TO,1575420434,88,-19.8,-174.35,77.0,11.41
278,Koundara,100,GN,1575420435,17,12.49,-13.3,77.11,3.89
279,Ballitoville,90,ZA,1575420436,87,-29.54,31.21,60.8,11.41
280,Galesong,40,ID,1575420437,88,-5.32,119.37,80.6,4.7
281,Road Town,24,VG,1575420179,88,18.42,-64.62,80.6,2.24
282,Chokurdakh,79,RU,1575420439,99,70.62,147.9,-20.0,3.09
283,Faanui,75,PF,1575420440,71,-16.48,-151.75,83.14,7.65
284,Timra,100,SE,1575420441,100,62.49,17.33,44.01,4.7
285,Hilo,90,US,1575420443,78,19.71,-155.08,75.99,10.29
286,Longview,1,US,1575420444,66,32.5,-94.74,59.0,4.36
287,Timizart,9,DZ,1575420445,59,36.8,4.25,63.05,5.93
288,Kuytun,46,RU,1575420446,96,54.34,101.51,0.18,5.57
289,Ust-Ishim,17,RU,1575420447,95,57.69,71.17,10.06,4.94
290,Lalmohan,34,BD,1575420448,76,22.34,90.74,63.81,5.91
291,Leningradskiy,100,RU,1575420449,87,69.38,178.42,18.37,17.34
292,Vao,99,EE,1575420450,93,59.1,26.19,33.66,8.63
293,Nakamura,40,JP,1575420452,75,35.17,136.87,51.8,3.36
294,Westport,1,US,1575420061,64,41.14,-73.36,35.6,8.05
295,Nyaunglebin,100,MM,1575420454,82,17.95,96.73,71.73,2.77
296,Salalah,100,OM,1575420455,57,17.01,54.1,77.0,17.22
297,Comodoro Rivadavia,63,AR,1575420351,87,-45.87,-67.48,51.8,3.36
298,Teya,5,MX,1575420457,69,21.05,-89.07,73.99,4.7
299,Gao,0,ML,1575420189,14,16.28,-0.04,73.22,5.91
300,Ljubuski,0,BA,1575420302,59,43.2,17.55,37.4,3.36
301,Pizarro,99,CO,1575420460,79,4.95,-77.37,80.11,3.65
302,Samarai,82,PG,1575420461,62,-10.62,150.67,85.3,6.4
303,Katsuura,20,JP,1575420462,61,33.93,134.5,48.2,8.05
304,Pisco,75,PE,1575420464,88,-13.71,-76.2,68.0,8.05
305,Rio Grande,82,BR,1575420278,74,-32.03,-52.1,66.99,3.0
306,San Miguel Ixtahuacan,49,GT,1575420466,69,15.25,-91.75,54.0,4.0
307,Dicabisagan,100,PH,1575420467,87,17.08,122.42,79.18,13.85
308,Barcelos,100,BR,1575420290,89,-0.97,-62.93,76.37,1.5
309,Atkinson,1,US,1575420469,80,41.42,-90.02,41.0,9.17
310,Cairns,100,AU,1575420470,59,-16.92,145.77,89.6,9.17
311,Majene,95,ID,1575420471,71,-3.54,118.97,82.72,3.36
312,Christchurch,35,NZ,1575420343,29,-43.53,172.64,78.8,16.11
313,Iranshahr,0,IR,1575420473,37,27.21,60.69,55.4,6.93
314,Ulladulla,0,AU,1575420475,15,-35.36,150.48,78.8,18.34
315,Vostok,100,RU,1575420476,92,46.45,135.83,-10.66,6.82
316,Kungurtug,12,RU,1575420477,77,50.6,97.53,-2.0,2.46
317,Mabay,40,CU,1575420478,83,20.35,-76.78,73.4,10.29
318,Tiarei,20,PF,1575420479,66,-17.53,-149.33,87.8,10.29
319,Shangrao,11,CN,1575420480,54,28.45,117.97,40.98,2.95
320,Mossendjo,95,CG,1575420481,98,-2.95,12.72,70.03,1.43
321,El Carmen,40,AR,1575420483,88,-24.39,-65.26,69.8,6.93
322,Noyabrsk,66,RU,1575420484,97,63.2,75.45,-0.08,12.95
323,Mwense,100,ZM,1575420485,97,-10.39,28.7,66.56,3.27
324,Klaksvik,99,FO,1575420486,93,62.23,-6.59,48.2,23.04
325,Grindavik,40,IS,1575420043,74,63.84,-22.43,37.4,16.11
326,Santiago,100,PH,1575420235,99,16.69,121.54,71.49,5.73
327,Yulara,0,AU,1575420489,13,-25.24,130.99,86.0,16.11
328,Port Lincoln,0,AU,1575420075,49,-34.72,135.86,66.9,4.34
329,Saint Lawrence,75,MT,1575420491,100,36.06,14.2,62.01,5.82
330,Ketchikan,90,US,1575420493,86,55.34,-131.65,39.2,3.67
331,Hirara,75,JP,1575419947,64,24.8,125.28,68.0,16.11
332,Kovdor,100,RU,1575420495,89,67.56,30.47,16.79,3.91
333,Bathsheba,40,BB,1575420496,74,13.22,-59.52,82.4,16.11
334,Ambanja,87,MG,1575420497,86,-13.68,48.45,77.43,4.03
335,Charlottesville,1,US,1575420265,73,38.03,-78.48,39.99,4.7
336,Providencia,99,CO,1575420499,95,1.24,-77.6,49.77,4.76
337,Sikeston,1,US,1575420362,86,36.88,-89.59,44.01,4.7
338,Mahibadhoo,47,MV,1575420501,77,3.78,72.97,82.67,7.56
339,Yar-Sale,85,RU,1575420031,96,66.83,70.83,4.19,10.22
340,Udachnyy,75,RU,1575420504,75,66.42,112.4,-18.4,4.47
341,Zhigansk,17,RU,1575420011,96,66.77,123.37,-36.31,6.8
342,Buala,77,SB,1575420506,75,-8.15,159.59,84.07,7.02
343,Allapalli,92,IN,1575420507,85,19.43,80.06,61.11,2.04
344,Karratha,0,AU,1575420508,61,-20.74,116.85,85.71,0.27
345,Tabou,65,CI,1575420509,92,4.42,-7.36,76.19,3.44
346,Chazuta,40,PE,1575420510,100,-6.57,-76.13,62.6,3.36
347,Mahajanga,20,MG,1575420511,65,-15.72,46.32,80.6,5.82
348,Kamyshevatskaya,96,RU,1575420513,76,46.41,37.96,34.88,11.1
349,Huarmey,96,PE,1575420514,77,-10.07,-78.15,66.58,4.76
350,Council Bluffs,1,US,1575420515,83,41.26,-95.86,46.4,10.29
351,Oranjestad,20,AW,1575420414,79,12.52,-70.03,84.2,19.46
352,Ejido,85,VE,1575420517,94,8.55,-71.24,47.82,3.8
353,Doka,1,SD,1575420518,33,13.52,35.76,72.57,6.08
354,Aripuana,8,BR,1575420519,73,-9.17,-60.63,78.39,1.68
355,Henties Bay,82,NA,1575420520,87,-22.12,14.28,57.99,4.0
356,Nanortalik,100,GL,1575420522,64,60.14,-45.24,27.03,32.91
357,Sicuani,97,PE,1575420523,97,-14.27,-71.23,35.65,4.25
358,Leon,1,US,1575420524,73,40.74,-93.75,42.8,10.29
359,Waingapu,91,ID,1575420525,71,-9.65,120.26,84.83,8.48
360,Rawson,99,AR,1575420526,82,-43.3,-65.11,51.15,35.3
361,Divnomorskoye,100,RU,1575420527,67,44.5,38.13,40.8,11.05
362,Provideniya,90,RU,1575420528,85,64.42,-173.23,23.0,8.95
363,Grand Gaube,40,MU,1575420044,78,-20.01,57.66,75.99,10.29
364,Loikaw,45,MM,1575420530,96,19.67,97.21,56.61,2.01
365,Rahatgarh,5,IN,1575420532,41,23.79,78.42,54.32,3.58
366,Kamenka,0,MD,1575420533,76,48.03,28.7,28.0,6.44
367,La Libertad,37,PE,1575420534,44,-16.38,-71.56,59.0,8.05
368,Genhe,79,CN,1575420535,97,50.78,121.52,-27.18,3.76
369,Sharjah,0,AE,1575420536,73,25.36,55.39,69.8,4.7
370,Kruisfontein,58,ZA,1575420040,72,-34.0,24.73,52.68,7.56
371,Tevaitoa,72,PF,1575420538,71,-16.78,-151.5,82.8,7.96
372,Sept-Iles,75,CA,1575419966,45,50.2,-66.38,26.6,8.05
373,Nueve de Julio,31,AR,1575420375,28,-31.67,-68.39,80.46,13.98
374,Priargunsk,1,RU,1575420541,77,50.37,119.09,-23.85,5.1
375,Faya,0,SA,1575420542,76,18.39,42.45,60.8,4.7
376,Neyshabur,31,IR,1575420544,46,36.21,58.79,47.34,12.01
377,Maceio,20,BR,1575420546,88,-9.67,-35.74,75.2,4.7
378,Berlin,75,DE,1575420547,87,52.52,13.39,44.01,10.29
379,Mirador,45,BR,1575420548,74,-6.37,-44.36,78.46,1.66
380,Xique-Xique,70,BR,1575420549,58,-10.82,-42.73,80.33,6.98
381,Columbus,1,US,1575420412,70,32.46,-84.99,48.2,4.7
382,Aklavik,20,CA,1575420551,74,68.22,-135.01,-20.2,3.69
383,Springbok,0,ZA,1575420552,38,-29.67,17.88,54.3,25.21
384,Tabas,49,IR,1575420553,56,33.6,56.92,51.8,4.7
385,Shanghai,0,CN,1575420538,75,31.23,121.49,48.0,4.47
386,Kudat,75,MY,1575420556,100,6.89,116.84,75.2,4.7
387,Ugoofaaru,90,MV,1575420557,80,5.67,73.0,82.78,11.56
388,Ahuimanu,40,US,1575420559,69,21.44,-157.84,82.4,6.93
389,Maymyo,20,MM,1575420560,88,22.03,96.47,62.6,3.36
390,Hlinsko,90,CZ,1575420561,86,49.76,15.91,33.01,3.36
391,Lodja,74,CD,1575420562,99,-3.52,23.6,68.81,0.56
392,Jutai,53,BR,1575420563,91,-1.71,-47.89,75.99,3.47
393,Pochutla,20,MX,1575420565,78,15.74,-96.47,84.2,6.35
394,Tahoua,4,NE,1575420566,18,14.89,5.26,71.6,6.93
395,Khandyga,97,RU,1575420567,97,62.65,135.58,-35.91,2.53
396,My Tho,40,VN,1575420568,68,10.36,106.37,71.6,3.36
397,Hofn,100,IS,1575420103,82,64.25,-15.21,43.99,48.88
398,Glendive,1,US,1575420570,69,47.11,-104.71,42.8,13.87
399,Ypsonas,20,CY,1575420572,81,34.69,32.96,55.4,3.36
400,Avera,1,US,1575420573,70,33.19,-82.53,46.4,6.93
401,Tuatapere,92,NZ,1575420574,85,-46.13,167.69,53.01,8.01
402,Namibe,77,AO,1575420575,82,-15.19,12.15,72.73,4.21
403,Bereda,0,ES,1575420576,93,43.27,-7.54,36.0,4.7
404,Cabo San Lucas,5,MX,1575420306,73,22.89,-109.91,75.2,4.7
405,Leshukonskoye,99,RU,1575420578,95,64.9,45.76,17.22,5.41
406,Waipawa,0,NZ,1575420579,27,-39.94,176.59,77.77,8.1
407,Tilichiki,100,RU,1575420093,99,60.47,166.1,-13.54,14.79
408,Hami,0,CN,1575420581,68,42.84,93.51,17.92,1.05
409,Tsumeb,54,NA,1575420582,66,-19.25,17.72,68.97,7.05
410,Kresttsy,100,RU,1575420584,92,58.25,32.52,26.47,7.76
411,Sorong,100,ID,1575420585,84,-0.86,131.25,81.37,2.62
412,Najran,0,SA,1575420586,47,17.54,44.22,57.2,1.57
413,Sao Paulo de Olivenca,97,BR,1575420587,95,-3.38,-68.87,74.89,0.78
414,Tupelo,1,US,1575420588,65,34.26,-88.7,44.6,4.21
415,Rome,0,IT,1575420380,75,41.89,12.48,51.01,8.05
416,Beira,0,ES,1575420590,93,43.2,-8.36,37.0,4.7
417,Fallon,1,US,1575420591,60,46.84,-105.12,42.8,11.41
418,Sumbe,51,AO,1575420593,88,-11.2,13.84,74.82,2.37
419,Grande Prairie,75,CA,1575420351,66,55.17,-118.79,32.0,3.36
420,Onguday,19,RU,1575420595,70,50.75,86.14,13.12,6.4
421,Port Hardy,90,CA,1575420596,100,50.7,-127.42,42.8,5.82
422,Vestmanna,100,FO,1575420597,93,62.16,-7.17,48.2,23.04
423,Bafra,90,TR,1575420598,81,41.57,35.91,48.2,17.22
424,Gannan,0,CN,1575420599,74,47.92,123.49,-11.92,6.76
425,High Level,40,CA,1575420600,78,58.52,-117.13,14.0,10.29
426,Lar,0,IR,1575420602,81,27.66,54.32,51.8,2.42
427,Garoua,69,CM,1575420603,25,9.31,13.39,73.94,2.42
428,Chara,90,GR,1575420604,81,39.42,22.43,50.0,5.82
429,Palana,100,RU,1575420605,77,59.08,159.95,9.41,9.82
430,San Cristobal,100,HN,1575420606,89,14.68,-86.92,65.84,2.86
431,Laksar,34,IN,1575420607,62,29.75,78.02,53.26,0.74
432,Pangody,91,RU,1575420608,96,65.85,74.49,6.31,11.63
433,Quatre Cocos,40,MU,1575420609,78,-20.21,57.76,75.99,10.29
434,Falam,16,MM,1575420610,98,22.91,93.68,48.29,1.86
435,Mandan,1,US,1575420576,80,46.83,-100.89,37.4,18.34
436,Ilinskiy,75,RU,1575420613,79,55.62,38.12,28.99,6.71
437,Isiolo,42,KE,1575420614,79,0.35,37.58,69.1,6.6
438,Benguela,45,AO,1575420615,86,-12.58,13.4,75.97,1.16
439,Aykhal,75,RU,1575420616,75,65.95,111.51,-20.2,4.47
440,Minab,0,IR,1575420617,82,27.15,57.07,62.6,4.7
441,Kidal,16,ML,1575420618,14,18.44,1.41,69.66,6.08
442,Shuyskoye,100,RU,1575420619,93,59.37,41.03,21.69,7.09
443,Aswan,13,EG,1575420389,43,24.09,32.9,56.32,8.9
444,Beyneu,32,KZ,1575420622,93,45.32,55.19,31.35,5.86
445,Lamu,0,CN,1575420623,70,35.77,102.37,12.0,4.27
446,Solnechnyy,100,RU,1575420624,87,50.72,136.64,8.76,4.94
447,Takapau,0,NZ,1575420625,27,-40.02,176.35,77.77,8.1
448,Kieta,93,PG,1575420408,71,-6.22,155.63,83.52,3.47
449,Nago,0,IT,1575420092,69,45.88,10.89,42.8,3.36
450,Alamosa,1,US,1575420628,73,37.47,-105.87,35.6,5.19
451,Pangkalanbuun,88,ID,1575420082,90,-2.68,111.62,77.52,2.15
452,Talaya,75,RU,1575420630,92,55.79,84.89,23.0,13.42
453,Seoul,1,KR,1575420632,74,37.57,126.98,33.8,1.66
454,Kondinskoye,94,RU,1575420633,88,59.65,67.41,13.32,10.04
455,Antalya,0,TR,1575420634,75,36.9,30.69,53.01,8.05
456,Zaozerne,10,UA,1575420635,89,51.37,23.94,28.04,9.33
457,Batote,73,IN,1575420636,30,33.12,75.32,34.52,6.69
458,Saldanha,0,PT,1575420637,85,41.42,-6.55,33.76,5.84
459,Mehamn,96,NO,1575420638,79,71.03,27.85,24.8,3.36
460,Auki,78,NG,1575420090,19,12.18,6.51,69.69,9.17
461,Praia da Vitoria,20,PT,1575420641,63,38.73,-27.07,60.8,20.33
462,Xinzhi,90,TW,1575420642,56,22.54,120.62,68.0,6.93
463,Kuandian,3,CN,1575420643,54,40.73,124.78,21.6,6.38
464,Pitimbu,20,BR,1575420060,78,-7.47,-34.81,78.8,6.93
465,Gladstone,0,AU,1575420645,24,-23.84,151.26,91.0,14.99
466,Lucieni,24,RO,1575420646,91,45.13,25.11,19.99,3.11
467,Landskrona,90,SE,1575420647,100,55.87,12.83,48.0,11.41
468,Vanavara,86,RU,1575420648,92,60.35,102.28,-12.23,5.39
469,Slavutych,2,UA,1575420650,94,51.52,30.76,24.39,10.22
470,San Nicolas,75,PH,1575420651,78,13.93,120.95,84.99,10.29
471,Luoyang,0,CN,1575420652,41,34.66,112.42,36.66,5.64
472,Sobolevo,87,RU,1575420653,87,54.43,31.9,27.25,11.3
473,Hanzhong,100,CN,1575420654,70,33.08,107.03,37.81,0.87
474,Mashhad,44,IR,1575420464,81,36.3,59.61,42.8,4.7
475,Norsup,81,VU,1575420656,79,-16.07,167.38,86.0,10.29
476,Abha,21,SA,1575420657,76,18.22,42.5,60.8,4.7
477,Swan River,69,CA,1575420658,88,52.11,-101.27,25.07,9.26
478,Marsa Matruh,0,EG,1575420659,64,31.35,27.25,66.51,6.46
479,Lima,90,PE,1575420446,77,-12.06,-77.04,69.8,10.29
480,Sitka,59,US,1575420662,54,37.17,-99.65,45.0,3.0
481,Manacapuru,20,BR,1575420663,74,-3.3,-60.62,80.6,4.7
482,Qasigiannguit,75,GL,1575420664,72,68.82,-51.19,12.2,25.28
483,Nizhnyaya Tavda,87,RU,1575420665,89,57.67,66.17,13.62,6.64
484,Nuevitas,20,CU,1575420666,88,21.55,-77.27,69.8,6.93
485,San Isidro,75,CR,1575420667,73,10.02,-84.06,73.4,9.17
486,Miami,1,US,1575420394,59,25.77,-80.19,63.0,4.7
487,Borgarnes,75,IS,1575420670,74,64.54,-21.92,37.4,19.46
488,Nacogdoches,1,US,1575420671,76,31.6,-94.66,53.6,4.09
489,Noumea,98,NC,1575420460,41,-22.28,166.46,91.4,11.41
490,Berea,90,US,1575420528,86,37.57,-84.3,37.99,6.93
491,Verkhniy Fiagdon,87,RU,1575420674,79,42.83,44.31,27.77,5.32
492,Camacha,40,PT,1575420675,63,33.08,-16.33,64.4,13.87
493,Xinyu,43,CN,1575420676,48,27.8,114.93,44.78,3.6
494,Erzin,40,TR,1575420677,81,36.95,36.2,48.99,2.24
495,Baley,0,RU,1575420678,77,51.58,116.65,-28.05,2.55
496,Milkovo,90,BG,1575420679,94,41.53,24.68,42.01,5.82
497,Penzance,0,GB,1575420680,93,50.12,-5.53,50.0,11.41
498,Illapel,100,CL,1575420682,65,-31.63,-71.17,52.86,2.19
499,Tyukhtet,96,RU,1575420683,83,56.54,89.31,20.46,7.16
500,Sibolga,90,ID,1575420684,89,1.74,98.78,71.92,3.2
501,Macenta,0,GN,1575420685,47,8.55,-9.47,66.61,1.68
502,Rodrigues Alves,90,BR,1575420686,100,-7.74,-72.65,75.2,1.61
503,Qaqortoq,95,GL,1575420687,52,60.72,-46.03,17.6,6.93
504,Uglovoye,78,UA,1575420688,72,44.82,33.6,38.89,9.75
505,Fukue,20,JP,1575420689,57,35.03,136.69,51.8,31.09
506,Mogwase,100,ZA,1575420691,88,-25.28,27.22,69.8,4.7
507,Bitung,20,ID,1575420692,79,1.44,125.19,84.2,2.24
508,Guangyuan,100,CN,1575420693,69,32.43,105.86,42.01,4.61
509,Alofi,40,NU,1575420694,66,-19.06,-169.92,84.2,13.87
510,Verkhnevilyuysk,4,RU,1575420695,94,63.45,120.31,-34.55,5.46
511,Berlevag,37,NO,1575420696,79,70.86,29.09,24.8,3.36
512,Great Falls,40,US,1575420697,65,47.5,-111.29,44.6,26.4
513,Cabinda,38,AO,1575420698,77,-5.56,12.19,80.78,4.92
514,Denpasar,40,ID,1575420621,74,-8.65,115.22,86.0,3.36
515,Marzuq,72,YE,1575420701,41,14.4,46.47,57.47,2.48
516,Kishapu,88,TZ,1575420702,86,-3.61,33.87,68.43,7.09
517,Pandan,96,PH,1575420703,69,11.72,122.09,81.68,4.5
518,Mwinilunga,100,ZM,1575420704,98,-11.73,24.43,62.38,3.91
519,Macomer,96,IT,1575420705,82,40.26,8.77,55.4,9.17
520,Hereford,44,GB,1575420706,94,52.06,-2.72,37.99,5.95
521,Shumskiy,32,RU,1575420707,84,54.83,99.13,6.24,3.62
522,Omsukchan,100,RU,1575420708,99,62.53,155.8,-32.04,13.51
523,Kano,98,NG,1575420709,63,11.99,8.53,60.8,6.17
524,La Ronge,20,CA,1575420710,79,55.1,-105.3,28.4,5.82
525,Puerto del Rosario,40,ES,1575420712,68,28.5,-13.86,66.2,8.05
526,Whitehorse,75,CA,1575420713,85,60.72,-135.06,19.4,5.82
527,Beroroha,18,MG,1575420714,67,-21.68,45.17,75.74,2.24
528,Parintins,33,BR,1575420715,57,-2.63,-56.73,82.2,1.25
529,Ulaangom,25,MN,1575420716,84,49.98,92.07,-4.49,3.0
530,Ciudad Bolivar,80,VE,1575420717,79,8.12,-63.55,78.17,10.71
531,Snezhnogorsk,10,RU,1575420718,84,69.19,33.23,3.2,2.24
532,Beya,49,RU,1575420719,72,53.05,90.92,14.4,4.32
533,Saint-Augustin,40,CA,1575420720,54,45.63,-73.98,30.0,5.82
534,Yeppoon,0,AU,1575420721,27,-23.13,150.74,91.4,10.29
535,Dukat,94,AL,1575420723,82,40.25,19.57,60.91,20.69
536,Dakar,67,SN,1575420568,88,14.69,-17.45,73.4,17.22
537,Anzio,4,IT,1575420725,75,41.45,12.63,51.01,8.05
538,Portland,90,US,1575420638,68,43.66,-70.25,30.2,13.87
539,Eydhafushi,93,MV,1575420727,79,5.1,73.07,82.71,12.24
540,Phan Thiet,95,VN,1575420728,70,10.93,108.1,67.14,2.89
541,Dafeng,0,CN,1575420729,64,33.2,120.46,39.25,3.2
542,Kijang,20,KR,1575420730,51,35.24,129.21,39.2,4.7
543,Itoman,40,JP,1575420731,52,26.12,127.67,69.8,14.99
544,Belmonte,16,PT,1575420525,89,40.36,-7.35,41.0,1.01
545,Harper,1,US,1575420734,35,30.3,-99.24,64.0,8.57
546,Tiznit,83,MA,1575420735,86,29.7,-9.73,49.28,8.12
547,Dingle,100,PH,1575420736,87,11.0,122.67,78.6,3.83
548,Zambezi,100,ZM,1575420737,95,-13.55,23.12,66.15,4.34
